cont_id,recency,frequency,monetary value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Total Score,Segment
100504198,2480.0,1,1450.0,1,1,1,111,3,Can't Loose Them
100504200,2462.0,1,2180.7,1,1,1,111,3,Can't Loose Them
100504207,2472.0,1,3628.53,1,1,2,112,4,Champions
100504212,957.0,2,1496.0,3,2,1,321,6,Potential
100504219,2448.0,2,1527.9,1,2,1,121,4,Champions
100504225,2439.0,2,7530.0,1,2,3,123,6,Potential
100504226,2399.0,1,5071.5,1,1,2,112,4,Champions
100504231,2167.0,3,10636.0,2,3,3,233,8,Needs Attention
100504234,651.0,8,26823.0,3,4,4,344,11,Require Activation
100504238,2426.0,4,7019.75,1,3,2,132,6,Potential
100504241,2423.0,1,1248.0,1,1,1,111,3,Can't Loose Them
100504242,2423.0,1,666.0,1,1,1,111,3,Can't Loose Them
100504244,2421.0,2,7470.0,1,2,3,123,6,Potential
100504252,2408.0,1,543.75,1,1,1,111,3,Can't Loose Them
100504254,2408.0,1,4320.4,1,1,2,112,4,Champions
100504255,987.0,13,29688.75,3,4,4,344,11,Require Activation
100504256,2407.0,1,2935.0,1,1,1,111,3,Can't Loose Them
100504261,2357.0,5,13101.74,2,3,3,233,8,Needs Attention
100504266,2400.0,3,16950.0,1,3,4,134,8,Needs Attention
100504267,2369.0,5,6964.05,2,3,2,232,7,Promising
100504269,2393.0,1,1530.0,1,1,1,111,3,Can't Loose Them
100504270,2391.0,1,8145.0,1,1,3,113,5,Loyal
100504274,2246.0,5,16211.2,2,3,4,234,9,Require Activation
100504276,2387.0,1,4913.76,2,1,2,212,5,Loyal
100504279,2252.0,8,26702.05,2,4,4,244,10,Require Activation
100504280,2381.0,1,3876.4,2,1,2,212,5,Loyal
100504284,1640.0,3,12796.25,2,3,3,233,8,Needs Attention
100504285,2378.0,1,1540.0,2,1,1,211,4,Champions
100504288,2091.0,2,8010.0,2,2,3,223,7,Promising
100504293,390.0,1,374.0,4,1,1,411,6,Potential
100504294,1145.0,1,310.25,3,1,1,311,5,Loyal
100504295,2366.0,2,7955.85,2,2,3,223,7,Promising
100504300,2365.0,1,4020.0,2,1,2,212,5,Loyal
100504301,2365.0,4,16500.0,2,3,4,234,9,Require Activation
100504303,2364.0,1,357.0,2,1,1,211,4,Champions
100504304,2273.0,1,1116.9,2,1,1,211,4,Champions
100504305,2358.0,1,4364.75,2,1,2,212,5,Loyal
100504306,2357.0,2,7021.6,2,2,2,222,6,Potential
100504311,2350.0,1,1453.5,2,1,1,211,4,Champions
100504312,2349.0,2,16590.0,2,2,4,224,8,Needs Attention
100504317,2341.0,2,2610.0,2,2,1,221,5,Loyal
100504318,2338.0,1,1032.0,2,1,1,211,4,Champions
100504322,70.0,2,3645.0,4,2,2,422,8,Needs Attention
100504323,2074.0,3,15174.0,2,3,3,233,8,Needs Attention
100504324,1343.0,9,35380.0,2,4,4,244,10,Require Activation
100504327,1705.0,5,8401.949999999999,2,3,3,233,8,Needs Attention
100504329,2227.0,2,7995.0,2,2,3,223,7,Promising
100504330,2312.0,1,7677.0,2,1,3,213,6,Potential
100504334,2304.0,1,6625.6,2,1,2,212,5,Loyal
100504335,155.0,16,36166.42,4,4,4,444,12,Require Activation
100504336,304.0,4,22619.4,4,3,4,434,11,Require Activation
100504337,2302.0,1,7995.0,2,1,3,213,6,Potential
100504342,2289.0,1,3550.5,2,1,2,212,5,Loyal
100504343,2286.0,4,22441.5,2,3,4,234,9,Require Activation
100504346,2268.0,4,20134.0,2,3,4,234,9,Require Activation
100504349,2273.0,1,0.0,2,1,1,211,4,Champions
100504355,2257.0,1,9495.0,2,1,3,213,6,Potential
100504356,2256.0,1,116.8,2,1,1,211,4,Champions
100504359,2252.0,1,1192.75,2,1,1,211,4,Champions
100504361,2167.0,5,13670.0,2,3,3,233,8,Needs Attention
100504368,2245.0,1,0.0,2,1,1,211,4,Champions
100504370,65.0,3,7450.25,4,3,3,433,10,Require Activation
100504373,2240.0,1,9495.0,2,1,3,213,6,Potential
100504380,2111.0,5,10277.24,2,3,3,233,8,Needs Attention
100504382,2231.0,8,12524.75,2,4,3,243,9,Require Activation
100504383,2231.0,8,13504.5,2,4,3,243,9,Require Activation
100504386,2230.0,1,1496.0,2,1,1,211,4,Champions
100504389,501.0,5,14456.59,4,3,3,433,10,Require Activation
100504392,1213.0,6,26570.0,3,4,4,344,11,Require Activation
100504393,2212.0,1,5491.0,2,1,2,212,5,Loyal
100504407,2203.0,2,8687.25,2,2,3,223,7,Promising
100504416,2194.0,1,8379.0,2,1,3,213,6,Potential
100504418,1498.0,2,4233.0,2,2,2,222,6,Potential
100504427,2178.0,2,8675.0,2,2,3,223,7,Promising
100504432,2072.0,1,185.4,2,1,1,211,4,Champions
100504443,2148.0,1,1306.8,2,1,1,211,4,Champions
100504444,896.0,1,0.0,3,1,1,311,5,Loyal
100504445,2146.0,1,0.0,2,1,1,211,4,Champions
100504448,2117.0,6,28341.1,2,4,4,244,10,Require Activation
100504449,2141.0,1,1474.0,2,1,1,211,4,Champions
100504451,2081.0,1,9825.2,2,1,3,213,6,Potential
100504452,675.0,2,11738.5,3,2,3,323,8,Needs Attention
100504458,2135.0,1,470.8,2,1,1,211,4,Champions
100504468,2130.0,4,5128.25,2,3,2,232,7,Promising
100504470,1829.0,3,187.0,2,3,1,231,6,Potential
100504471,2130.0,1,0.0,2,1,1,211,4,Champions
100504472,454.0,2,3339.5,4,2,2,422,8,Needs Attention
100504474,2129.0,3,3722.3999999999996,2,3,2,232,7,Promising
100504481,2124.0,1,9868.5,2,1,3,213,6,Potential
100504482,2123.0,1,11695.5,2,1,3,213,6,Potential
100504484,2118.0,1,3081.25,2,1,2,212,5,Loyal
100504488,2062.0,5,12640.35,2,3,3,233,8,Needs Attention
100504491,1695.0,4,11603.6,2,3,3,233,8,Needs Attention
100504492,1817.0,3,4797.0,2,3,2,232,7,Promising
100504499,2105.0,1,4628.8,2,1,2,212,5,Loyal
100504505,2058.0,2,4369.8,2,2,2,222,6,Potential
100504508,1691.0,2,6426.0,2,2,2,222,6,Potential
100504509,2093.0,2,10980.0,2,2,3,223,7,Promising
100504515,2086.0,2,12470.0,2,2,3,223,7,Promising
100504524,2078.0,6,25115.050000000003,2,4,4,244,10,Require Activation
100504532,2072.0,1,8584.0,2,1,3,213,6,Potential
100504535,2069.0,1,4901.0,2,1,2,212,5,Loyal
100504536,1193.0,1,795.0,3,1,1,311,5,Loyal
100504537,1757.0,4,7482.5,2,3,3,233,8,Needs Attention
100504546,2057.0,1,3120.0,2,1,2,212,5,Loyal
100504547,2053.0,1,5943.0,2,1,2,212,5,Loyal
100504549,2054.0,1,722.0,2,1,1,211,4,Champions
100504550,1001.0,1,248.0,3,1,1,311,5,Loyal
100504552,57.0,1,1836.0,4,1,1,411,6,Potential
100504553,2053.0,3,3965.25,2,3,2,232,7,Promising
100504554,1566.0,4,15651.0,2,3,4,234,9,Require Activation
100504558,67.0,36,154330.90000000002,4,4,4,444,12,Require Activation
100504559,1088.0,2,3125.5,3,2,2,322,7,Promising
100504563,2044.0,5,13735.0,2,3,3,233,8,Needs Attention
100504564,2043.0,1,1230.0,2,1,1,211,4,Champions
100504567,1458.0,8,22618.25,2,4,4,244,10,Require Activation
100504568,55.0,5,9083.68,4,3,3,433,10,Require Activation
100504572,1970.0,2,7923.0,2,2,3,223,7,Promising
100504573,1786.0,1,2716.0,2,1,1,211,4,Champions
100504574,2022.0,1,125.0,2,1,1,211,4,Champions
100504578,2015.0,4,14794.9,2,3,3,233,8,Needs Attention
100504583,2006.0,2,22871.2,2,2,4,224,8,Needs Attention
100504585,2004.0,1,4641.0,2,1,2,212,5,Loyal
100504586,2004.0,2,6434.5,2,2,2,222,6,Potential
100504588,1992.0,2,4343.5,2,2,2,222,6,Potential
100504590,2002.0,1,1462.0,2,1,1,211,4,Champions
100504591,2002.0,1,7180.0,2,1,2,212,5,Loyal
100504592,1735.0,3,6155.2,2,3,2,232,7,Promising
100504593,2001.0,1,2912.0,2,1,1,211,4,Champions
100504594,2001.0,2,9400.0,2,2,3,223,7,Promising
100504596,1999.0,1,12995.0,2,1,3,213,6,Potential
100504599,1718.0,2,3766.4,2,2,2,222,6,Potential
100504600,1995.0,1,185.0,2,1,1,211,4,Champions
100504601,817.0,2,5954.0,3,2,2,322,7,Promising
100504602,1961.0,1,310.25,2,1,1,211,4,Champions
100504606,1993.0,2,3862.5,2,2,2,222,6,Potential
100504607,1992.0,1,748.0,2,1,1,211,4,Champions
100504615,1967.0,1,7180.0,2,1,2,212,5,Loyal
100504616,1975.0,2,3460.5,2,2,2,222,6,Potential
100504617,1975.0,1,4444.0,2,1,2,212,5,Loyal
100504618,1973.0,1,4100.0,2,1,2,212,5,Loyal
100504621,1956.0,2,9400.0,2,2,3,223,7,Promising
100504625,1963.0,2,11620.0,2,2,3,223,7,Promising
100504635,1915.0,5,9517.5,2,3,3,233,8,Needs Attention
100504636,1711.0,9,16150.85,2,4,4,244,10,Require Activation
100504638,1941.0,1,5501.0,2,1,2,212,5,Loyal
100504641,1939.0,2,2340.0,2,2,1,221,5,Loyal
100504644,1960.0,1,0.0,2,1,1,211,4,Champions
100504646,1932.0,1,8495.0,2,1,3,213,6,Potential
100504647,366.0,12,42433.65,4,4,4,444,12,Require Activation
100504650,1926.0,1,506.7,2,1,1,211,4,Champions
100504657,1911.0,2,510.0,2,2,1,221,5,Loyal
100504660,1905.0,1,4580.0,2,1,2,212,5,Loyal
100504661,1561.0,3,6543.0,2,3,2,232,7,Promising
100504663,1897.0,4,21194.5,2,3,4,234,9,Require Activation
100504668,1887.0,5,7096.5,2,3,2,232,7,Promising
100504673,1877.0,4,0.0,2,3,1,231,6,Potential
100504674,1311.0,3,11590.15,3,3,3,333,9,Require Activation
100504682,1869.0,1,1215.0,2,1,1,211,4,Champions
100504683,1592.0,4,9151.2,2,3,3,233,8,Needs Attention
100504684,1814.0,2,1302.4,2,2,1,221,5,Loyal
100504686,1855.0,2,2934.25,2,2,1,221,5,Loyal
100504693,1841.0,1,5611.5,2,1,2,212,5,Loyal
